organization,followers,following,public_repos,site_url,location,email,is_verified,type,total_repos,total_projects,total_stars,total_forks,total_open_issues,primary_languages
synopsys-sig,65,0,27,https://www.synopsys.com/,,,False,Organization,27,0,190,115,147,"Go, HTML, Java, JavaScript, PowerShell, Python, Ruby, Shell, Smarty, TypeScript"
spgi-ci,9,0,2,,,ci.support@spglobal.com,False,Organization,2,0,7,11,2,Python
underarmour,66,0,9,,,ops-service@underarmour.com,False,Organization,9,0,1,0,6,"Go, Java, Objective-C, Python, SCSS, Swift"
skyworksinc,5,0,37,https://skyworksinc.github.io/,United States of America,,False,Organization,37,0,4,7,11,"Common Lisp, JavaScript, Jupyter Notebook, Python, Shell"
iheartmedia,0,0,0,,,,False,Organization,0,0,0,0,0,N/A
RepublicServicesRepository,158,0,17,http://www.republicservices.com/,,,False,Organization,17,0,2,3,7,"C#, JavaScript, Shell, TypeScript"
averydennison,92,0,0,,United States of America,,False,Organization,0,0,0,0,0,N/A
ticketmaster,41,0,107,http://www.ticketmaster.com/,,,False,Organization,107,0,697,219,195,"C, C#, Dockerfile, Go, HCL, HTML, Java, JavaScript, Kotlin, Objective-C, Perl, PowerShell, Python, Ruby, Rust, Shell, Starlark, Swift, TypeScript"
starbucks,16,0,0,www.starbucks.com,Seattle,,False,Organization,0,0,0,0,0,N/A
AdvanceAutoParts,2,0,1,,,,False,Organization,1,0,4,0,4,Java
warnerbros,18,0,9,https://www.warnerbros.com,,,True,Organization,9,0,9,7,100,"Dockerfile, JavaScript, R, TypeScript"
apollographql,1344,0,208,https://apollographql.com,"San Francisco, CA",,False,Organization,208,0,79329,19390,5562,"C#, CSS, Dockerfile, Go, HCL, Java, JavaScript, Kotlin, MDX, Objective-C, PowerShell, Python, Reason, Rust, SCSS, Scala, Shell, Smarty, Swift, TypeScript"
jpmorganchase,2399,0,72,https://www.jpmorganchase.com,,open_source@jpmorgan.com,False,Organization,72,0,12079,2467,799,"C++, Go, HTML, Java, JavaScript, Jupyter Notebook, Python, R, TypeScript"
ch-robinson,4,0,3,https://www.chrobinson.com/,,,True,Organization,3,0,169,61,23,"C#, Go, SCSS"
OxyHQ,9,0,14,https://oxy.so/,,hello@oxy.so,True,Organization,14,0,7,2,83,TypeScript
BestBuy,11,0,1,http://www.bestbuy.com,"Richfield, MN",developer@bestbuy.com,False,Organization,1,0,263,105,14,JavaScript
CMEGroup,38,0,6,www.cmegroup.com,"Chicago, IL",,False,Organization,6,0,114,38,8,"Java, Jupyter Notebook, Python"
Autodesk,831,0,82,https://opensource.autodesk.com/,"San Francisco, CA",wongwautodesk,False,Organization,82,0,7811,1791,1626,"ApacheConf, C#, C++, CSS, Go, HTML, Java, JavaScript, Kotlin, Mathematica, Objective-C, Python, Shell, Swift, TypeScript"
AlaskaAirlines,55,0,85,http://www.alaskaair.com/,"Seattle, WA",,False,Organization,85,0,162,150,666,"Go, HCL, HTML, JavaScript, Ruby, SCSS, Shell, Svelte, Swift, TypeScript, Vue"
paypal,1559,0,160,https://www.paypal.com/,"San Jose, CA",,False,Organization,160,0,23798,7716,1175,"C#, C++, CSS, Clojure, ColdFusion, Go, HTML, Java, JavaScript, Kotlin, Objective-C, PHP, Python, Ruby, Scala, Shell, Swift, TypeScript, Visual Basic"
capitalone,351,0,47,https://www.capitalone.com/tech/open-source/,"McLean, VA",opensource@capitalone.com,False,Organization,47,0,4947,1336,445,"CSS, Go, Java, JavaScript, Jupyter Notebook, Objective-C, PHP, Python, R, Ruby, Shell, TeX, TypeScript"
amzn,2076,0,161,https://developer.amazon.com/,,,False,Organization,161,0,14739,6132,862,"C, C#, C++, CSS, Go, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Mustache, Objective-C, PHP, PowerShell, Python, Ruby, Scala, Smarty, Swift, TypeScript, Zeek"
cerner,128,0,68,http://engineering.cerner.com/,,,False,Organization,68,0,1627,5586,540,"Dockerfile, Groovy, HTML, Java, JavaScript, Jupyter Notebook, Python, Ruby, TypeScript"
intel,4471,0,1315,,,webadmin@linux.intel.com,False,Organization,1315,0,112554,30973,13285,"Assembly, BitBake, C, C#, C++, CMake, CSS, Dart, Dockerfile, Go, HCL, HTML, Haskell, Java, JavaScript, Jinja, Jupyter Notebook, LLVM, Logos, M4, MATLAB, MLIR, Makefile, Mustache, NASL, Objective-C, Open Policy Agent, OpenSCAD, PHP, Perl, Perl6, Puppet, Python, Roff, Rust, SCSS, Shell, Singularity, SystemVerilog, Tcl, TypeScript, Vala, Verilog, Vue"
apple,30824,0,328,https://apple.com,"Cupertino, CA",,True,Organization,328,0,238617,21106,5287,"Assembly, C, C#, C++, Go, Groovy, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, LLVM, Lua, Mathematica, Pkl, Python, R, Ruby, Shell, Starlark, Svelte, Swift, TypeScript"
honeywell,4,0,0,,,,False,Organization,0,0,0,0,0,N/A
TechData,0,0,17,,,,False,Organization,17,0,7,13,7,"C#, Java, JavaScript, PHP, Ruby"
vfc,0,0,0,,,,False,Organization,0,0,0,0,0,N/A
amd,1263,0,84,http://www.amd.com,,dl.DevSecOps-Github-Admin@amd.com,True,Organization,84,0,3934,880,318,"Assembly, C, C#, C++, CMake, Dockerfile, Fortran, Go, HTML, JavaScript, Python, Shell"
HenrySchein-C,64,0,0,,,ABID.RANA@HENRYSCHEIN.COM,True,Organization,0,0,0,0,0,N/A
GoodSamEnterprises,70,0,0,http://www.campingworld.com,United States of America,,False,Organization,0,0,0,0,0,N/A
